,reference_year,adm2_name,adm0_name,adm1_name,chtype,population,phase1,phase2,phase3,phase4,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase
0,2014,unknown,Mauritania,Assaba,current,327069.3333333333,237483.0,66658.66666666667,29535.5,9713.0,34392.0,,,
1,2015,unknown,Mauritania,Assaba,current,343042.3333333333,221748.66666666666,80080.0,40067.666666666664,3437.0,41213.333333333336,,,
2,2016,unknown,Mauritania,Assaba,current,349827.0,279861.6666666667,55972.333333333336,13993.333333333334,,13993.333333333334,,,
3,2017,unknown,Mauritania,Assaba,current,360249.0,252174.33333333334,67246.66666666667,37225.666666666664,10807.0,40828.0,,,
4,2018,unknown,Mauritania,Assaba,current,371778.0,219584.33333333334,95403.66666666667,55561.0,3688.0,56790.333333333336,,,
5,2019,Barkeol,Mauritania,Assaba,current,94807.0,71105.0,14221.0,7585.0,1896.0,9481.0,,,
6,2019,Boumdeid,Mauritania,Assaba,current,9394.0,7327.0,1503.0,564.0,,564.0,,,
7,2019,Guerrou,Mauritania,Assaba,current,53240.0,37801.0,7986.0,6389.0,1065.0,7454.0,,,
8,2019,Kankossa,Mauritania,Assaba,current,97884.0,71456.0,14683.0,9788.0,1958.0,11746.0,,,
9,2019,Kiffa,Mauritania,Assaba,current,131368.0,98526.0,19705.0,10509.0,2627.0,13137.0,,,
10,2019,unknown,Mauritania,Assaba,current,377656.0,183163.5,118961.5,69866.0,5665.0,75531.0,,,
11,2020,Barkeol,Mauritania,Assaba,projected,94807.0,65417.0,17065.0,10428.5,3792.0,12324.5,,,
12,2020,Boumdeid,Mauritania,Assaba,projected,9394.0,6951.5,1550.0,845.5,94.0,892.5,,,
13,2020,Guerrou,Mauritania,Assaba,projected,53240.0,38599.0,7453.5,5058.0,4259.0,7187.5,,,
14,2020,Kankossa,Mauritania,Assaba,projected,97884.0,70966.0,15661.5,7341.5,7831.0,11257.0,,,
15,2020,Kiffa,Mauritania,Assaba,projected,131368.0,93928.0,21675.5,13136.5,5255.0,15764.0,,,
16,2021,Barkeol,Mauritania,Assaba,current,97844.0,62635.666666666664,25416.333333333332,9145.0,1941.0,9792.0,1.0,2.0,2.0
17,2021,Boumdeid,Mauritania,Assaba,current,9694.666666666666,6300.0,2649.6666666666665,745.3333333333334,,745.3333333333334,1.0,2.0,4.0
18,2021,Guerrou,Mauritania,Assaba,current,54946.333333333336,33880.666666666664,15025.666666666666,5857.666666666667,545.0,6039.666666666667,1.0,2.0,4.0
19,2021,Kankossa,Mauritania,Assaba,current,101020.33333333333,68749.66666666667,24547.0,7723.666666666667,,7723.666666666667,1.0,2.0,2.0
20,2021,Kiffa,Mauritania,Assaba,current,135576.33333333334,87142.0,37107.333333333336,11326.333333333334,,11326.333333333334,1.0,2.0,4.0
21,2022,Barkeol,Mauritania,Assaba,current,99390.2567,40253.0,33792.5,21866.0,3479.0,25345.0,2.0,3.0,4.0
22,2022,Boumdeid,Mauritania,Assaba,current,9848.095297,4727.0,2905.0,1920.5,295.5,2216.0,2.0,3.0,4.0
23,2022,Guerrou,Mauritania,Assaba,current,55814.58077,29024.0,16186.5,9767.5,837.0,10604.5,2.0,3.0,4.0
24,2022,Kankossa,Mauritania,Assaba,current,102616.9788,44638.5,35916.0,19497.5,2565.5,22063.0,2.0,3.0,4.0
25,2022,Kiffa,Mauritania,Assaba,current,137719.0884,60596.5,46824.5,28232.0,4132.0,30298.0,2.0,3.0,3.0
26,2022,unknown,Mauritania,Assaba,current,405389.0,287826.0,93239.0,20269.0,4054.0,24323.0,1.0,2.0,3.0
27,2023,Barkeol,Mauritania,Assaba,current,102576.33333333333,62587.666666666664,24287.333333333332,15701.333333333334,,15701.333333333334,2.0,1.0,2.0
28,2023,Boumdeid,Mauritania,Assaba,current,10164.0,7312.666666666667,2104.0,747.3333333333334,,747.3333333333334,1.0,1.0,2.0
29,2023,Guerrou,Mauritania,Assaba,current,57603.666666666664,38671.666666666664,11489.0,7442.666666666667,,7442.666666666667,2.0,1.0,2.0
30,2023,Kankossa,Mauritania,Assaba,current,105906.33333333333,74593.33333333333,16895.0,14418.0,,14418.0,2.0,1.0,2.0
31,2023,Kiffa,Mauritania,Assaba,current,142133.33333333334,112319.0,23178.0,6636.666666666667,,6636.666666666667,1.0,1.0,2.0
32,2024,Barkeol,Mauritania,Assaba,projected,104195.0,50014.0,32300.0,21881.0,,21881.0,,,
33,2024,Boumdeid,Mauritania,Assaba,projected,10324.0,5678.0,1858.0,2581.0,206.0,2787.0,,,
34,2024,Guerrou,Mauritania,Assaba,current,58513.0,38618.5,11702.5,8191.5,,8191.5,,,
35,2024,Kankossa,Mauritania,Assaba,projected,107577.0,52175.0,34962.5,18826.0,3227.0,20439.5,,,
36,2024,Kiffa,Mauritania,Assaba,projected,144376.0,74353.5,43313.0,24544.0,4331.0,26709.5,,,
37,2024,unknown,Mauritania,Assaba,current,451804.0,374997.0,67771.0,9036.0,,9036.0,,,
38,2025,unknown,Mauritania,Assaba,projected,451804.0,334335.0,99397.0,18072.0,,18072.0,,,
